INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:59:19; connectionpool.py:697)
INFO:root: Niter: 40	date: 2017-02-10 09:59:35	dsname: Test waterproof sensor	temp_f: 75.3116 (2017-02-10 09:59:35; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:59:35; connectionpool.py:697)
INFO:root: Niter: 40	date: 2017-02-10 09:59:37	dsname: Test mini sensor	temp_f: 75.2 (2017-02-10 09:59:37; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:59:37; connectionpool.py:697)
INFO:root: Niter: 36	date: 2017-02-10 10:00:38	dsname: Test mini sensor	temp_f: 75.3116 (2017-02-10 10:00:38; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 10:00:38; connectionpool.py:697)
INFO:root: Niter: 34	date: 2017-02-10 10:01:09	dsname: Test mini sensor	temp_f: 75.2 (2017-02-10 10:01:09; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 10:01:09; connectionpool.py:697)
INFO:root: Niter: 17	date: 2017-02-10 10:05:27	dsname: Test mini sensor	temp_f: 75.3116 (2017-02-10 10:05:27; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 10:05:27; connectionpool.py:697)
INFO:root: Niter: 15	date: 2017-02-10 10:05:58	dsname: Test waterproof sensor	temp_f: 75.2 (2017-02-10 10:05:58; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 10:05:58; connectionpool.py:697)
INFO:root: Niter: 14	date: 2017-02-10 10:06:14	dsname: Test waterproof sensor	temp_f: 75.3116 (2017-02-10 10:06:14; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 10:06:14; connectionpool.py:697)
INFO:root: Niter: 13	date: 2017-02-10 10:06:29	dsname: Test mini sensor	temp_f: 75.425 (2017-02-10 10:06:29; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 10:06:29; connectionpool.py:697)
INFO:root: Niter: 10	date: 2017-02-10 10:07:15	dsname: Test mini sensor	temp_f: 75.3116 (2017-02-10 10:07:15; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 10:07:15; connectionpool.py:697)
